key_titulo	titulo_en	key_descripcion	descripcion_en
blacjac_bounty_title_HRT	Wanted by ArcCorp: ~mission(TargetName) (HRT)	blacjac_bounty_desc_HRT	ATTN: Bounty Hunters\n\nYour next bounty, ~mission(TargetName), is definitely considered a high-risk target for good reason. They’re known to travel with some serious firepower and are escorted by enough protection to make anyone think twice about picking a fight.\n\nSources indicate that ~mission(TargetName|Last) is hiding out over at ~mission(Location|Address). When you head out to track them down, just make sure you’re prepared. Might even think about bringing along some backup yourself.  \n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"\n
blacjac_bounty_title_intro	BlacJac Bounty Trial Contract	blacjac_bounty_desc_intro	ATTN: Bounty Hunters\n\nNot sure if you’re interested, but BlacJac is looking to expand our roster of bounty hunters. We got more jobs than our current contractors can handle, so I’m hoping that you might be able to help pick up some of the slack.  \n\nYour qualifications look good on paper, but before we make anything official, BlacJac needs to see how you perform in the field firsthand. Even got a test case all lined up – we want you to sort out ~mission(TargetName). They were last seen at ~mission(Location|Address). Should be a fairly straightforward bounty without too much resistance. Perfect thing to sharpen your teeth on.\n\nGood luck,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"\n
blacjac_bounty_title_LRT	Wanted by ArcCorp: ~mission(TargetName) (LRT)	blacjac_bounty_desc_LRT	ATTN: Bounty Hunters\n\nBounty came in for a low-risk target by the name of ~mission(TargetName). The target themselves isn’t all that much to worry about, but it seems that they typically fly in a pack, so there’s a high chance they’ll have a few friends along when you track them down.\n\nSpeaking of, I’d start the hunt over at ~mission(Location|Address) since we have reports of them being spotted in the area.\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"\n
blacjac_bounty_title_MRT	Wanted by ArcCorp: ~mission(TargetName) (MRT)	blacjac_bounty_desc_MRT	ATTN: Bounty Hunters\n\nNeed you to sort out ~mission(TargetName), a moderate-risk bounty last seen at ~mission(Location|Address) flying a small, multicrew ship. \n\nWe weren’t able to get details on exactly what they were piloting, but it seems they did have a few other ships with them. Be ready for a fair bit of resistance when you come calling.\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"\n
blacjac_bounty_title_rehire	BlacJac Bounty Trial Contract	blacjac_bounty_desc_rehire	ATTN: Former BlacJac Bounty Hunter\n\nI know your last sting bounty hunting for BlacJac didn’t go well, but a soaring caseload means that you are lucky enough to get another chance.\n\nIf you're able to complete the bounty on ~mission(TargetName) over at ~mission(Location|Address) then we can see about getting you reinstated.\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"\n
blacjac_bounty_title_VHRT	Wanted by ArcCorp: ~mission(TargetName) (VHRT)	blacjac_bounty_desc_VHRT	ATTN: Bounty Hunters\n\nBlacJac just got word that a very high-risk target, ~mission(TargetName), was spotted moving through the flight lanes over at ~mission(Location|Address) piloting a formidable ship with a heavy escort.  \n\nWe want this bounty closed out before they commit any more crimes. Gather whatever resources or support you need, and head out as soon as you can.\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"\n
blacjac_bounty_title_VLRT	Wanted by ArcCorp: ~mission(TargetName) (VLRT)	blacjac_bounty_desc_VLRT	ATTN: Bounty Hunters\n\nGot a very low-risk target I need you to take care of: ~mission(TargetName).\n\nTheir last known location was ~mission(Location|Address).\n\nThis is a low threat bounty, so I expect you to be able to clear it pretty fast. They typically fly a small ship and don’t have very many known acquaintances. It doesn't get much more straightforward than that.\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"\n
blacjac_RetrieveConsignment_title_001	Protect Site and Procure Confidential Materials	blacjac_RetrieveConsignment_desc_001	ATTN: Mercenaries with Cargo Handling Experience\n\nNine Tails are currently assaulting one of our facilities at ~mission(Location|address). As they just received a delivery of confidential materials, we don’t believe this is a coincidence. BlacJac needs someone to hurry to the location and secure these important boxes before the Nine Tails do. You are authorized to use lethal force against any who attempt to stop you. \n\nAs part of our standard security protocol, the confidential materials were integrated into another consignment and secured in the automated vault. You’ll need to find the relevant retrieval codes for the confidential materials and enter it at the package conveyor to retrieve the boxes. Retrieval codes are stored locally on datapads and only given to high-ranking staff. Hopefully they’re alive to help you, but considering the complete comms blackout, we fear that’s not the case. There's a chance Nine Tails have already gotten their hands on the datapads.  \n\nOnce you’ve gathered all the confidential materials, they will need to be delivered to ~mission(dropoff1|address). Payment is contingent upon their delivery.\n\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"
blacjac_UGF_defend_E_title_001	Defend Site From Minor Threat	blacjac_UGF_defend_E_desc_001	ATTN: Verified Mercenary Operators\n\nOne of the sites under BlacJac’s purview has been clashing with a few local outlaws. We would like you to head down to ~mission(Location|Address) and secure the site from these hostile threats.\n\nFrom the early reports, I expect this will be a fairly straightforward matter, but if it makes you feel better, feel free to recruit a team to provide you with extra support.\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"\n
blacjac_UGF_defend_title_001	Defend Site From Threat	blacjac_UGF_defend_desc_001	ATTN: Verified Mercenary Operators\n\nWe’ve gotten word that some local muscle have been making threats against ~mission(Location|Address). BlacJac is looking to have you put a team together and protect the site from these hostile threats.\n\nAnd as much as we all love credits, I don’t recommend trying to do this one solo. Hiring a team to come along would be beneficial to your livelihood.\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"
blacjac_UGF_defend_VH_title_001	Defend Site From Dangerous Threat	blacjac_UGF_defend_VH_desc_001	ATTN: Verified Mercenary Operators\n\nI’ve received a report that some operators are planning on making a move against ~mission(Location|Address). BlacJac wants you to put a team together and defend the site from this dangerous threat.\n\nIt is strongly recommended that you do not attempt to do this contract solo. Hiring a team of skilled mercenaries to provide support would be the smartest route.\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"\n
blacjac_UGF_destroy_E_title_001	Wipe Out Drug Stash	blacjac_UGF_destroy_E_desc_001	ATTN: Verified Mercenary Operators\n\nIt seems there’s a new operator trying their hand at manufacturing drugs over at ~mission(Location|Address), but the product they’re putting out is extremely toxic. \n\nWe’re sorting through how to handle the arrests, but the important thing is to prevent any more of their supply getting distributed. I need you to get down there and destroy the drugs they’re storing on site.\n\nThere's a good chance the facility isn't abandoned, so you might run into these thugs when you head down there, so be ready for a fight. But if their gun skills are anything like their chemistry, it probably won’t be much of one. \n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"\n
blacjac_UGF_destroy_H_title_001	Destroy Dangerous Drugs	blacjac_UGF_destroy_H_desc_001	ATTN: Verified Mercenary Operators\n\nSome enterprising chemists have cooked up a new product that is twice as potent and twice as deadly as the normal stuff. We were able to trace some samples back to the source over at ~mission(Location|Address). \n\nBlacJac wants you to head down ASAP to destroy the entire batch before it can hurt any more of the population. We can worry about making arrests later.\n\nFrom everything we know about this crew, you should expect to meet heavy resistance while attempting to clear out the stash.\n\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"\n
blacjac_UGF_destroy_title_001	Clear Out Drugs	blacjac_UGF_destroy_desc_001	ATTN: Verified Mercenary Operators\n\nWe got word that a syndicate spiked a rival’s drug package and its causing chaos on the streets. Forensics have identified the source, a production facility over at ~mission(Location|Address). Word is the drug manufacturers don’t even know they have a poisoned crop on their hands.\n\nWe’re sorting through how to handle the arrests, but the important thing is to get this crap off the streets now. I need you to get down there and destroy the drugs they’re storing on site.\n\nThey won’t be happy about it, so you’ll probably have a fight on your hands, but the important thing is clearing out the product.\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"
blacjac_UGF_eliminateall_allies_title_001	Protect Site	blacjac_UGF_eliminateall_allies_desc_001	ATTN: Verified Mercenary Operators\n\nWe’ve gotten word from the security team at ~mission(Location|Address) that some of the local scum have been launching attacks. BlacJac is looking to have you go to the site and assist in protecting it from hostile threats.\n\nMake sure you check your fire down there. I don't want to hear about any blue-on-blue incidents.\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"
blacjac_UGF_eliminateall_allies_title_intro	Protect Site Trial Contract	blacjac_UGF_eliminateall_allies_desc_intro	ATTN: Verified Mercenary Operators\n\nBlacJac is seeking to expand our roster of security professionals. To evaluate if you’re a good match, we would like you to provide support at ~mission(Location|Address) as they've been having issues with some hostiles in the area.\n\nIf you are able to assist in protecting the site and eliminating the threat, we will be able to offer you more security work.\n\nNote that Friendly fire incidents will not be tolerated.\n\nGood luck,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"\n
blacjac_UGF_eliminateall_allies_title_rehire	Protect Site Trial Contract	blacjac_UGF_eliminateall_allies_desc_rehire	ATTN: Former Mercenary Operator\n\nI’m aware that BlacJac stopped offering security work, but due to staffing changes it was decided to offer you another chance.\n\nWe’ve gotten word that ~mission(Location|Address) needs some assistance dealing with a local outlaw gang. BlacJac is looking to have you go to the site and assist in eliminating this threat.\n\nAnd since you’re already on thin ice as is, I don’t want to hear that you were involved in any friendly fire incidents.\n\nIf you’re able to pull this operation off, we can see about getting you reinstated.\n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"\n
blacjac_UGF_eliminateall_title_001	Clear Out Site	blacjac_UGF_eliminateall_nocivs_desc_001	ATTN: Verified Mercenary Operators\n\nWe’ve gotten word that ~mission(Location|Address) is being used by some local criminals as base of operations. BlacJac is looking to have you sweep the site and clear out any hostiles. \n\nOur early reports show that there’s a good chance that the gang will have some civilians working for them on-site. We're not looking to be making headlines here, so try to remember that you are only cleared to engage with confirmed hostiles. \n\nThanks,\nGloria Mesa\n\nPrivate Contract Supervisor\nBlacJac Security, "Protection Provided"
BlockadeRunner_Counter_Title	Lookin' for Zeta-Prolanide	BlockadeRunner_Counter_Desc	Word is that a lot of Zeta-Prolanide has been stolen from ~mission(Location|address).\n\nIf you happen to come across any, bring it over to ~mission(DropOffLocation|address) and we'll make sure you get a good price.\n\nAnd if not, you can abandon this offer, no hard feelings.
BlockadeRunner_Title	CDF ALERT: ~mission(Location) Blockade Runners Needed	BlockadeRunner_Desc	*FOR IMMEDIATE SYSTEM-WIDE RELEASE*\n\nA hostile fleet of ships equipped with quantum jammers have created a blockade around  ~mission(Location|address), disabled the station's defensive turrets, and stolen a large supply of Zeta-Prolanide. In response, the CDF has received authorization to activate its volunteer force. \n\nThough the overall situation is dire, the theft of the Zeta-Prolanide is our priority. Without direct action, the loss of the sector's Zeta-Prolanide stores could have a devastating effects to the wider economy of the whole system. \n\nWhile local security forces are investigating the incursion, they've tracked the stolen inventory to several locations. CDF volunteers are tasked with heading to these locations, recovering the stolen Zeta-Prolanide, and transferring it back to the station before the material completely degrades and is no longer viable. Just be careful, intel suggests that larger clusters of Zeta-Prolanide have a higher outlaw presence.\n\nSince time is of the essence, having a tractor beam to assist in moving the cargo is highly advised.\n\nAs an added incentive, volunteers will receive regular bonus payments for their combined efforts.
bounty_title_0004	Bounty Issued: ~mission(TargetName)	bounty_desc	~mission(Contractor|BountyDescription)
BrightSky_Title	Running the Gauntlet	BrightSky_Desc	The CDF has partnered with Anvil Aerospace to find the most capable operatives in the system. \n\nIf you find one of these Platinum certifications, you can redeem the ticket at a ship kiosk at New Deal, Astro Armada or Crusader Showroom for a free F8C. \n\nThe catch is that your identity and location has been shared with participants throughout the system. For everyone else, if you can stop the ticketholder before they get to the kiosk, you can claim the ticket for your own.\n\nWhoever makes it will not only receive this next generation superiority fighter, but also prove that they have what it takes for the toughest CDF assignments.\n\nGood luck.
cfp_bombingrun_E_title_001	Eliminate Fuel Stores		
cfp_bombingrun_sabotage_generators_title_001	Reduce Outlaw's Operational Readiness		
cfp_ChainElimAll_1C_ElimSpec_GenAttack_E_title_001	Alert: ~mission(Location) under attack		
cfp_ChainElimAll_1C_ElimSpec_HHAttack_M_title_001	Taking back from the Headhunters		
cfp_ChainElimAll_1C_HHAttack_M_title_001	Help defend ~mission(Location) from Headhunters		
cfp_ChainElimAll_2C_ElimSpec_GenAttack_M_title_001	Outlaw attack at ~mission(Location)		
cfp_ChainElimAll_2C_ElimSpec_HHAttack_H_title_001	Retaking Outposts from Headhunters		
cfp_ChainElimAll_2C_ElimSpec_XTAttack_H_title_001	Reclaiming Outposts from XenoThreat		
cfp_ChainElimAll_3C_ElimSpec_GenAttack_M_title_001	Need multiple CFP outposts retaken		
cfp_ChainElimAll_3C_ElimSpec_HHAttack_VH_title_001	Reclaiming Clusters from Headhunters		
cfp_ChainElimAll_3C_ElimSpec_XTAttack_VH_title_001	Campaign to reclaim XenoThreat outposts 		
cfp_defend_cave_Generic_title_001	Assistance needed at ~mission(Location)		
cfp_defend_headhunters_H_title_001	Headhunter attack on ~mission(Location)		
cfp_defend_regionshift_title_001	Call for Help: ~mission(Location)		
cfp_defend-criminals_title_001	Defend ~mission(Location) from Outlaws		
cfp_defend-xenothreat_title_001	Protect ~mission(Location) from XenoThreat Attack		
cfp_defend-xenothreat_title_002	Protect ~mission(Location) from XenoThreat Raid		
cfp_defend-xenothreat_title_003	Protect ~mission(Location) from XenoThreat Incursion		
cfp_defendship_Intro_title_001	Seeking Experienced Combat Pilots		
cfp_defendship_LRT_SB_title_001	Provide Combat Support		
cfp_defendship_LRT_title_001	Pilot Seeking Combat Support		
cfp_defendship_MRT_bombingrun_title_001	Assist Retreating Ship		
cfp_defendship_MRT_SB_title_001	Stop Attack on Ship		
cfp_defendship_MRT_title_001	Ship Needs Emergency Assistance		
cfp_defendship_multi_HRT_SB_title_001	Help Ambushed Convoy		
cfp_defendship_multi_HRT_title_001	Convoy Caught in Brutal Attack		
cfp_defendship_multi_MRT_title_001	Convoy Needs Emergency Assistance		
cfp_defendship_multi_SRT_SB_title_001	Stop Savage Shattered Blade Attack		
cfp_defendship_multi_SRT_title_001	Come to Aid of Convoy		
cfp_defendship_multi_VHRT_SB_title_001	Convoy Under Attack		
cfp_defendship_multi_VHRT_title_001	Respond to Distress Beacon		
cfp_defendship_multi_VHRT_XT_title_001	Convoy Under XenoThreat Attack		
cfp_defendship_VLRT_SB_title_001	Support Ship Under Attack		
cfp_defendship_VLRT_title_001	Pilot in Distress		
cfp_delivery_eliminateall_sabotage_server_H_XT_title_001	Assistance Needed Against XenoThreat Raid		
cfp_delivery_title_001	Delivery for ~mission(Destination) Ready	cfp_delivery_desc_001	Hi, \n\nGot word folks are waiting for an important supply shipment that’s not arrived. Turns out it accidently got taken to the wrong place. While we look into how the mistake happened, we need someone to head over to <EM4>~mission(Pickup1|Address)</EM4> to pick up package <EM4>#~mission(item1|serialnumber)</EM4> and deliver it to the correct location at <EM4>~mission(Dropoff1|Address)</EM4>. \n\nAlso, to make your life easier, I'd make sure you have a <EM4>handheld tractor beam</EM4> with you. \n\nYou available for the run?\n\nLima Endicott\nLead Dispatcher\nCitizens for Prosperity
cfp_delivery_title_002	Multiple Deliveries Ready	cfp_delivery_desc_002	Hey, \n\nNeed two packages delivered. Package <EM4>#~mission(item1|serialnumber)</EM4> needs to be grabbed from <EM4>~mission(Pickup1|Address)</EM4> and taken to <EM4>~mission(Dropoff1|Address)</EM4>, and package <EM4>#~mission(item2|serialnumber)</EM4> is going from <EM4>~mission(Pickup2|Address)</EM4> to <EM4>~mission(Dropoff2|Address)</EM4>. Should be an easy way to make a few creds. \n\nAlso, to make your life easier, I'd make sure you have a <EM4>handheld tractor beam</EM4> with you. \n\nFly safe, \n\nLima Endicott\nLead Dispatcher\nCitizens for Prosperity
cfp_destroy_idris_title_001	Eliminate XenoThreat Idris	cfp_destroy_idris_desc_001	Hey, \n\nThe rumors are true. XenoThreat has deployed an Idris to stalk and attack Citizens for Prosperity operations in a dramatic escalation of their hostility towards us. We just received word the ship, under the command of ~mission(TargetName), is advancing toward ~mission(location|address). We can’t get our own forces there fast enough to fight them, and are in desperate need of help. \n\nWe’re looking to hire someone brave enough to take it to these bastards. It’s not enough to scare them away, we need to guarantee that it can’t come after us again. \n\nNot sure if you’ve faced down an Idris before, but it’s a tall task for someone to take on alone. I’d highly recommend recruiting others to the cause.   \n\nBest,\n\nLima Endicott\nLead Dispatcher\nCitizens for Prosperity\n
cfp_eliminateall_fromCFP_Gen_E_title_001	Attack on CFP outpost		
cfp_eliminateall_fromCFP_hh_M_title_001	Defenders needed against Headhunters		
cfp_eliminateall_fromCFP_XT_M_title_001	Protecting outpost from XenoThreat		
cfp_eliminateall_hh_E_title_001	Reclaim Headhunter Outpost		
cfp_eliminateall_intro_title_001	Establishing Security		
cfp_eliminateall_XT_E_title_001	Reclaim XenoThreat Outpost		
cfp_EliminateSpecific_Generic_E_title_001	Protection against ~mission(TargetName|Last)		
CFP_RecoverCargo_Easy_Title	Intercepted Supply Run		
CFP_RecoverCargo_Hard_Title	Crucial Supplies Need Retrieving		
CFP_RecoverCargo_Medium_Title	Recovering Valuable Supplies		
CFP_RecoverCargo_Super_Title	Special Recovery Operation		
CFP_RecoverCargo_VeryHard_Title	Cargo Shipment Must Be Completed		
cfp_recovery_tile_001	Stolen Supplies	cfp_recovery_desc_001	Hey,\n\nWe could use your help.\n\nA local we work with was completing a delivery for us, but unfortunately, she ran into some outlaws and had to surrender her ~mission(Item). Silver lining is the outlaws didn’t notice the trackers we placed in the cargo and now we know they’ve taken their haul to ~mission(Location|Address). \n\nWe’d like you to recover the packages for us and finish delivering them to ~mission(Destination|Address). I don’t imagine the outlaws will give them up willingly, but I wouldn’t ask you to put yourself in harm’s way if these supplies weren’t of critical importance.\n\nAlso, to make your life easier, I'd suggest you have a <EM4>handheld tractor beam</EM4> with you. \n\nSo, what do you say?\n\nLima Endicott\nLead Dispatcher\nCitizens for Prosperity
CFP_RetrieveCargo_AsteroidBase_VE_title_001	Recover Cargo		
CFP_RetrieveCargo_CrimBase_H_title_001	Raid to Recover Supplies		
CFP_RetrieveCargo_CrimBase_M_title_001	Reclaim Stolen Cargo		
CFP_RetrieveCargo_CrimBase_XT_VH_title_001	Regain Supplies from XenoThreat		
CFP_RetrieveCargo_Lagrange_E_title_001	Retrieve Supplies		
CFP_RetrieveCargo_Lagrange_M_title_001	Find Lost Supply Ship		
cfp_RetrieveConsignment_title_001	Confidential Material Stolen	cfp_RetrieveConsignment_desc_001	You available for a job? One of our secure locations got hit by outlaws and some highly confidential material was stolen. As you can imagine, Citizens for Prosperity is eager to recover them as soon as possible.\n\nThanks to a local contact, we were able to trace the outlaws back to ~mission(Location|Address) where they're storing the confidential materials inside a secure automated vault. To access it, you’ll need to first find the relevant retrieval code and enter it at the vault’s package conveyor. Our best guess is that one of outlaw leaders will be carrying the code on their person so there is a very strong chance you’ll have to engage with them directly to get it.\n  \nOnce you’ve gotten possession of the confidential material, we want you to deliver it to ~mission(Dropoff1|Address).\n\nYou’ll be making a big difference to a lot of people if you manage to pull this off.\n\nThanks in advance,\n\nLima Endicott\nLead Dispatcher\nCitizens for Prosperity\n
cfp_sabotage_drugs_M_title_001	Halt Narcotics Operation		
cfp_sabotage_generators_E_HH_title_001	Take Headhunter Stronghold Offline		
cfp_sabotage_generators_H_title_001	Limit Outlaw Operational Capacity		
cfp_sabotage_generators_M_title_001	Take Outlaws at ~mission(Location) Offline		
cfp_sabotage_generators_VE_title_001	Disable Outlaw Stronghold at ~mission(Location)		
cfp_sabotage_server_elimiatespecific_HH_title_001	Eradicate All Traces of Headhunter Data		
cfp_sabotage_servers_E_HH_title_001	Wipe Headhunter Data Servers		
cfp_sabotage_servers_H_XT_title_001	Destroy XenoThreat Logistic Data		
cfp_sabotage_servers_M_HH_title_001	Destroy Headhunter Stolen Data		
cfp_sabotage_servers_M_title_001	Clear Outlaw Data Center		
cfp_sabotage_servers_VH_XT_title_001	Destroy XenoThreat Data Servers		
cfp_sabotage_VH_title_001	Destroy Outlaw Data Servers		
